Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 46250047-València - Av. França
	
FECHA	HORA	PM2.5	SO2	CO	NO	NO2	PM10	Veloc.	Direc.	NOx	O3
		µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	m/s	grados	µg/m³	µg/m³
01/01/2024	00	43	3	0,1	5	22	50	0,1	329	30	45
01/01/2024	01	9	3	0,1	5	22	10	0,1	348	30	39
01/01/2024	02	7	3	0,1	5	26	7	0,1	257	33	32
01/01/2024	03	6	3	0,1	5	22	7	0,1	270	29	38
01/01/2024	04	6	3	0,1	4	12	6	0,1	220	20	41
01/01/2024	05	4	3	0,1	5	11	4	0,2	222	18	41
01/01/2024	06	4	3	0,1	5	11	4	0,3	283	17	41
01/01/2024	07	4	3	0,1	4	11	5	0,2	276	17	35
01/01/2024	08	5	3	0,1	5	13	6	0,1	74	21	28
01/01/2024	09	4	3	0,1	6	21	10	0,1	283	29	28
01/01/2024	10	5	3	0,1	5	18	7	0,1	253	26	35
01/01/2024	11	5	3	0,1	6	17	10	0,1	256	27	36
01/01/2024	12	6	3	0,1	7	18	9	0,3	238	28	40
01/01/2024	13	4	3	0,1	7	11	6	0,1	173	21	53
01/01/2024	14	3	4	0,1	7	15	7	1,6	110	26	53
01/01/2024	15	4	4	0,1	8	20	5	3,3	103	32	47
01/01/2024	16	3	4	0,1	7	22	5	1,2	117	33	45
01/01/2024	17	3	4	0,1	5	18	15	0,2	152	26	50
01/01/2024	18	3	3	0,1	5	18	7	0,2	217	26	49
01/01/2024	19	5	3	0,1	5	21	11	0,1	235	28	44
01/01/2024	20	9	4	0,1	8	49	14	0,4	22	61	11
01/01/2024	21	13	3	0,1	11	58	20	0,1	85	75	5
01/01/2024	22	16	4	0,1	14	52	33	0,1	75	73	3
01/01/2024	23	14	4	0,1	12	49	23	0,1	170	66	5
02/01/2024	00	13	4	0,1	11	45	17	0,9	218	62	4
02/01/2024	01	11	3	0,1	6	36	14	0,3	188	44	11
02/01/2024	02	7	3	0,1	5	24	9	1,1	219	32	24
02/01/2024	03	6	3	0,1	5	16	7	1	232	22	31
02/01/2024	04	3	3	0,1	4	6	4	1,9	236	13	48
02/01/2024	05	3	3	0,1	4	12	5	1,9	232	18	40
02/01/2024	06	4	3	0,1	5	14	7	2	247	22	39
02/01/2024	07	4	3	0,1	5	21	8	3	231	29	31
02/01/2024	08	5	3	0,1	7	27	13	1,6	233	37	25
02/01/2024	09	6	3	0,1	6	13	25	4,3	242	23	42
02/01/2024	10	6	3	0,1	6	11	38	4,9	236	19	45
02/01/2024	11	7	3	0,1	6	13	53	4,5	239	23	45
02/01/2024	12	7	3	0,1	7	15	48	3,3	240	25	47
02/01/2024	13	6	3	0,1	7	17	28	4,1	240	28	44
02/01/2024	14	7	4	0,1	7	19	27	2,8	248	29	46
02/01/2024	15	6	3	0,1	7	18	28	0,9	219	29	50
02/01/2024	16	5	3	0,1	7	26	19	0,4	233	37	42
02/01/2024	17	5	3	0,1	8	34	18	0,7	260	46	34
02/01/2024	18	5	3	0,2	7	30	15	1,7	254	40	41
02/01/2024	19	5	3	0,2	6	25	9	1,4	255	34	48
02/01/2024	20	5	3	0,3	6	26	9	0,8	230	35	46
02/01/2024	21	6	3	0,3	6	33	9	0,1	233	42	38
02/01/2024	22	5	3		6	20	7	0,8	224	29	51
02/01/2024	23	4	4		5	21	7	0,5	241	30	51
03/01/2024	00	4	4		6	13	7	1	211	21	57
03/01/2024	01	5	4		6	11	8	2,7	254	19	56
03/01/2024	02	5	4		6	10	8	1,3	234	18	55
03/01/2024	03	4	4		6	9	8	0,7	233	18	58
03/01/2024	04	4	4		5	10	5	0,3	155	18	52
03/01/2024	05	4	4		5	12	5	0,2	195	19	48
03/01/2024	06	4	4		6	13	5	1,2	243	22	50
03/01/2024	07	4	4		6	18	7	0,7	242	26	45
03/01/2024	08	4	4		7	21	12	1,6	225	30	43
03/01/2024	09	5	4		6	21	15	2,4	231	30	43
03/01/2024	10	6	4		6	18	15	2,9	237	27	49
03/01/2024	11	6	4		7	18	19	2,6	234	29	48
03/01/2024	12	6	3		7	17	19	2,8	244	28	50
03/01/2024	13	6	3		9	19	27	2,7	246	34	49
03/01/2024	14	4	3		8	17	15	2,7	252	30	51
03/01/2024	15	4	3		7	17	16	2,6	246	28	50
03/01/2024	16	4	3		8	18	18	2,6	250	31	50
03/01/2024	17	5	3		7	23	27	1,6	245	34	46
03/01/2024	18	5	3		7	29	14	2,2	241	40	39
03/01/2024	19	5	3		8	32	9	1	279	44	33
03/01/2024	20	6	3		8	42	10	0,3	278	53	23
03/01/2024	21	6	3		7	28	8	0,6	258	38	35
03/01/2024	22	6	3		6	18	7	0,4	246	27	46
03/01/2024	23	5	3		5	19	6	0,2	266	27	42
04/01/2024	00	4	3		5	16	5	0,2	288	24	45
04/01/2024	01	3	3	0,1	5	14	4	0,1	256	22	45
04/01/2024	02	4	3	0,2	5	11	5	0,1	248	18	45
04/01/2024	03	5	3	0,2	5	13	5	0,6	234	20	38
04/01/2024	04	4	3	0,1	5	13	4	0,1	236	20	34
04/01/2024	05	4	3	0,2	5	12	4	0,2	239	20	31
04/01/2024	06	4	3	0,1	7	28	4	0,5	215	39	14
04/01/2024	08	9	3	0,1	23	43	11	0,5	232	78	4
04/01/2024	09	7	3	0,1	12	35	9	0,6	237	53	13
04/01/2024	10	7	3	0,1	14	36	17	0,2	245	57	14
04/01/2024	11	11	3	0,1	15	35	18	0,1	330	59	22
04/01/2024	12	15	3	0,2	36	49	30	0,8	110	104	16
04/01/2024	13	16	3	0,1	32	48	30	0,8	81	97	16
04/01/2024	14	17	3	0,1	13	36	24	0,5	73	57	31
04/01/2024	15	14	3	0,1	10	32	17	1,6	100	47	40
04/01/2024	16	13	3	0,2	10	39	18	0,9	102	55	32
04/01/2024	17	11	3	0,1	16	52	14	0,2	139	76	10
04/01/2024	18	8	3	0,2	11	49	16	0,2	66	66	13
04/01/2024	19	7	3	0,2	7	34	8	0,3	40	45	27
04/01/2024	20	9	3	0,2	6	34	11	0,4	39	43	25
04/01/2024	21	12	3	0,2	8	40	14	0,1	30	51	17
04/01/2024	22	18	3	0,3	6	40	20	0,2	349	49	18
04/01/2024	23	19	3	0,3	7	43	23	0,5	258	53	10
05/01/2024	00	18	3	0,2	13	47	20	0,5	230	66	4
05/01/2024	01	17	3	0,1	11	41	18	0,4	259	57	5
05/01/2024	02	12	4	0,1	6	26	12	0,1	222	36	15
05/01/2024	03	5	3	0,1	5	18	5	0,7	227	26	24
05/01/2024	04	1	3	0,1	5	11	1	1,3	242	19	44
05/01/2024	05	1	3	0,1	5	11	1	1,8	247	18	50
05/01/2024	06	1	3	0,1	6	11	1	1,9	239	20	47
05/01/2024	07	2	3	0,1	6	20	3	0,2	244	28	36
05/01/2024	08	2	3	0,1	6	26	4	1,2	252	35	31
05/01/2024	09	3	3	0,1	7	21	5	1,3	249	31	38
05/01/2024	10	3	3	0,1	7	18	4	1,9	239	29	43
05/01/2024	11	2	4	0,1	8	18	3	1,3	264	29	48
05/01/2024	12	2	3	0,2	7	15	4	1,1	275	25	53
05/01/2024	13	2	3	0,2	6	16	7	1,4	284	25	55
05/01/2024	14	2	3	0,2	8	15	5	1,4	308	27	57
05/01/2024	15	3	3	0,2	7	13	15	2,6	294	24	57
05/01/2024	16	4	3	0,1	6	10	28	5,2	331	19	67
05/01/2024	17	2	3	0,1	6	14	4	2,1	325	23	61
05/01/2024	18	2	4	0,2	5	22	4	0,8	296	30	51
05/01/2024	19	2	3	0,3	5	17	4	1	312	26	51
05/01/2024	20	3	3	0,2	6	14	5	1,2	322	22	54
05/01/2024	21	3	3	0,2	5	13	4	1,3	310	20	53
05/01/2024	22	3	3	0,3	4	14	4	0,5	325	21	52
05/01/2024	23	2	3	0,3	5	7	4	1,3	315	16	61
06/01/2024	00	1	3	0,2	4	8	3	0,5	324	15	59
06/01/2024	01	1	3	0,1	5	7	1	0,7	287	14	57
06/01/2024	02	1	3	0,1	4	6	1	0,3	340	13	54
06/01/2024	03	1	3	0,1	5	6	1	0,4	342	13	54
06/01/2024	04	1	3	0,1	5	6	1	0,3	338	13	56
06/01/2024	05	1	3	0,1	4	6	1	0,2	321	11	54
06/01/2024	06	1	3	0,1	4	6	1	0,1	340	12	52
06/01/2024	07	2	3	0,1	4	7	2	0,8	223	12	45
06/01/2024	08	1	3	0,1	4	7	2	1,7	245	13	46
06/01/2024	09	2	3	0,1	6	8	4	0,6	279	17	41
06/01/2024	10	3	3	0,1	5	8	4	0,3	276	16	45
06/01/2024	11	2	3	0,1	6	9	6	1,3	325	17	53
06/01/2024	12	1	3	0,1	5	6	2	0,9	312	13	61
06/01/2024	13	2	3	0,1	5	7	6	1,4	333	15	61
06/01/2024	14	3	3	0,1	6	7	20	4,5	338	15	63
06/01/2024	15	4	3	0,1	6	7	28	5,2	325	16	64
06/01/2024	16	5	3	0,1	5	7	49	5,5	317	15	66
06/01/2024	17	3	3	0,1	5	7	15	4,2	313	15	63
06/01/2024	18	1	3	0,1	5	8	7	3,2	316	16	59
06/01/2024	19	2	3	0,1	4	9	3	1,6	326	15	58
06/01/2024	20	2	3	0,1	4	9	3	3,4	316	16	56
06/01/2024	21	3	3	0,1	5	13	3	1,2	310	20	49
06/01/2024	22	2	3	0,1	5	7	2	3,5	316	15	57
06/01/2024	23	1	3	0,1	5	6	4	2,9	316	13	58
07/01/2024	00	2	3	0,2	4	6	9	4	316	12	63
07/01/2024	01	1	3	0,3	4	6	2	2,4	301	12	63
07/01/2024	02	1	3	0,3	4	6	1	1,3	302	12	59
07/01/2024	03	1	3	0,3	4	6	1	1,3	266	12	58
07/01/2024	04	1	4	0,3	4	6	1	1,3	266	12	58
07/01/2024	05	1	3	0,3	4	6	1	1,2	317	12	56
07/01/2024	06	1	4	0,3	4	5	1	1,6	307	12	57
07/01/2024	07	1	3	0,3	4	5	1	1,5	297	11	54
07/01/2024	08	1	4	0,3	5	6	2	1,4	262	13	55
07/01/2024	09	1	4	0,3	5	6	3	1,9	297	13	58
07/01/2024	10	1	4	0,3	7	6	3	2	309	16	57
07/01/2024	11	2	3	0,3	5	6	9	3,5	294	13	62
07/01/2024	12	1	3	0,2	5	7	3	2,2	286	15	63
07/01/2024	13	2	3	0,1	7	6	6	3	302	16	64
07/01/2024	14	2	3	0,1	5	6	5	2,6	324	15	65
07/01/2024	15	2	3	0,1	5	6	4	3,5	340	14	69
07/01/2024	16	1	3	0,1	6	7	4	3,6	337	15	68
07/01/2024	17	1	3	0,1	5	7	3	2,5	344	15	65
07/01/2024	18	2	3	0,1	5	15	4	1,1	348	22	57
07/01/2024	19	3	3	0,1	5	28	6	0,7	347	35	40
07/01/2024	20	3	3	0,1	4	19	5	0,9	345	26	49
07/01/2024	21	2	3	0,1	5	11	3	1,7	322	17	58
07/01/2024	22	2	3	0,1	5	8	3	2,7	329	16	59
07/01/2024	23	1	3	0,1	5	6	2	1,5	326	14	64
08/01/2024	00	1	3	0,2	4	6	1	0,7	340	12	63
08/01/2024	01	1	3	0,3	4	5	1	1	300	11	64
08/01/2024	02	1	4	0,3	4	5	1	2,9	295	11	65
08/01/2024	03	1	4	0,3	4	5	1	2	298	12	65
08/01/2024	04	1	4	0,3	4	5	1	2	304	12	65
08/01/2024	05	1	4	0,3	4	5	1	1,1	292	11	60
08/01/2024	06	1	3	0,2	4	5	2	3,5	328	11	60
08/01/2024	07	1	4	0,1	4	9	5	1,8	46	15	53
08/01/2024	08	3	3	0,1	5	18	29	0,6	339	24	40
08/01/2024	09	2	4	0,1	6	16	16	0,7	272	25	43
08/01/2024	10	3	4	0,1	7	15	12	0,7	234	26	44
08/01/2024	11	3	3	0,1	7	10	16	1,3	294	22	48
08/01/2024	12	2	4	0,2	6	8	12	1,4	281	17	55
08/01/2024	13	2	3	0,3	6	9	11	1,1	300	18	57
08/01/2024	14	2	3	0,3	6	8	8	1,6	290	17	61
08/01/2024	15	2	3	0,2	7	10	8	1	289	21	58
08/01/2024	16	2	3	0,1	6	14	7	0,5	302	23	54
08/01/2024	17	2	3	0,2	7	28	11	0,6	348	38	41
08/01/2024	18	7	3	0,2	9	36	16	0,3	14	49	29
08/01/2024	19	9	3	0,2	12	47	29	0,2	192	65	13
08/01/2024	20	10	3	0,1	51	59	36	0,1	10	137	3
08/01/2024	21	13	4	0,2	54	63	34	0,2	221	147	3
08/01/2024	22	14	4	0,2	59	59	33	0,2	189	150	3
08/01/2024	23	8	3	0,3	7	42	16	0,2	231	53	6
09/01/2024	00	7	3	0,3	10	41	14	0,6	243	56	3
09/01/2024	01	6	3	0,3	5	32	12	0,2	283	40	13
09/01/2024	02	5	3	0,3	5	15	8	0,4	239	23	30
09/01/2024	03	6	3	0,3	5	26	8	0,1	289	33	16
09/01/2024	04	5	3	0,3	5	18	7	0,1	351	25	21
09/01/2024	05	6	3	0,3	5	19	8	0,3	285	26	21
09/01/2024	06	6	3	0,3	5	28	9	0,1	324	35	13
09/01/2024	07	5	3	0,3	11	39	9	0,1	343	56	5
09/01/2024	08	8	3	0,3	55	48	41	0,1	252	133	3
09/01/2024	09	10	4	0,3	80	54	55	0,1	53	176	3
09/01/2024	10	10	4	0,3	29	43	35	0,1	98	87	15
09/01/2024	11	7	4	0,3	9	25	25	0,2	97	38	39
09/01/2024	12	5	4	0,3	9	15	14	1,7	97	29	53
09/01/2024	13	5	4	0,3	9	23	10	0,9	96	38	45
09/01/2024	14	3	4	0,3	8	20	7	0,6	87	32	46
09/01/2024	15	3	4	0,3	6	13	5	1,1	71	22	57
09/01/2024	16	3	4	0,3	6	17	9	1	54	26	57
09/01/2024	17	2	3	0,3	5	15	6	0,5	68	24	60
09/01/2024	18	2	4	0,3	5	18	5	0,3	54	26	57
09/01/2024	19	4	3	0,3	5	31	9	0,3	23	39	42
09/01/2024	20	8	3	0,3	7	32	16	0,4	40	41	32
09/01/2024	21	6	3	0,3	5	25	10	0,7	34	32	42
09/01/2024	22	5	3	0,3	6	16	6	1,1	40	25	50
09/01/2024	23	4	3	0,3	5	13	5	0,5	37	21	53
10/01/2024	00	4	3	0,2	5	13	9	0,1	303	21	49
10/01/2024	01	13	4	0,1	5	29	19	0,1	281	37	24
10/01/2024	02	11	4	0,1	5	22	17	0,1	1	30	32
10/01/2024	03	9	4	0,1	4	14	13	0,1	346	20	44
10/01/2024	04	9	3	0,1	5	14	12	0,1	250	21	38
10/01/2024	05	8	4	0,1	5	19	12	0,1	231	27	28
10/01/2024	06	13	4	0,1	17	38	15	0,9	232	63	3
10/01/2024	07	13	4	0,1	23	43	15	0,1	237	78	3
10/01/2024	08	12	4	0,1	25	45	14	0,1	231	83	3
10/01/2024	09	16	4	0,1	76	52	44	0,1	134	168	4
10/01/2024	10	17	4	0,1	60	53	45	0,2	234	144	6
10/01/2024	11	11	4	0,1	19	43	22	0,3	229	72	22
10/01/2024	12	12	4	0,2	10	31	20	0,9	198	46	40
10/01/2024	13	15	3	0,3	7	23	20	0,9	203	34	49
10/01/2024	14	12	3	0,3	7	21	16	0,8	243	31	47
10/01/2024	15	7	3	0,3	6	22	11	2,1	234	30	40
10/01/2024	16	9	3	0,3	5	22	12	2	237	30	36
10/01/2024	17	10	3	0,3	6	30	14	1,4	233	39	27
10/01/2024	18	8	3	0,3	6	32	12	1,2	246	41	27
10/01/2024	19	9	3	0,3	6	25	11	1,4	234	34	29
10/01/2024	20	8	3	0,3	6	29	10	0,4	231	38	25
10/01/2024	21	7	3	0,3	6	26	8	0,4	241	36	25
10/01/2024	22	6	3	0,3	7	24	8	0,1	276	33	26
10/01/2024	23	5	3	0,3	6	24	7	0,2	297	33	27
11/01/2024	00	4	3	0,3	5	14	5	0,3	309	22	38
11/01/2024	01	6	3	0,3	5	9	6	0,2	294	16	37
11/01/2024	02		3	0,3	5	9		0,2	253	17	38
11/01/2024	03		3	0,3	6	8		0,1	178	16	33
11/01/2024	04	7	3	0,3	5	14	7	0,1	28	21	25
11/01/2024	05	9	3	0,3	5	18	9	0,2	26	26	22
11/01/2024	06	24	3	0,3	7	35	25	0,1	36	45	9
11/01/2024	07	18	3	0,3	13	33	20	0,3	42	54	7
11/01/2024	08	7	3	0,2	15	37	12	0,8	53	60	8
11/01/2024	09	4	3	0,3	7	24	7	2	48	35	24
11/01/2024	10	6	3	0,3	12	31	11	0,4	7	49	12
11/01/2024	11	3	3	0,3	9	19	7	0,1	20	33	27
11/01/2024	12	3	3	0,3	8	10	5	0,9	91	22	41
11/01/2024	13	3	3	0,3	8	12	5	1,7	96	24	42
11/01/2024	14	3	3	0,3	7	14	7	1	181	24	42
11/01/2024	15	2	3	0,3	6	13	4	1,7	140	22	48
11/01/2024	16	2	3	0,3	6	11	5	1,9	122	19	52
11/01/2024	17	2	3	0,3	5	12	3	2,1	95	20	52
11/01/2024	18	3	3	0,3	5	15	5	0,7	81	22	49
11/01/2024	19	3	3	0,3	7	27	4	1,1	89	37	32
11/01/2024	20	2	3	0,3	5	19	3	1,7	103	27	42
11/01/2024	21	2	3	0,3	6	13	3	2,5	91	22	45
11/01/2024	22	4	3	0,3	5	16	5	0,7	83	23	36
11/01/2024	23	7	3	0,3	6	26	12	0,3	223	35	23
12/01/2024	00	9	3	0,2	5	26	11	0,1	269	33	17
12/01/2024	01	6	4	0,1	4	20	8	0,1	25	26	22
12/01/2024	02	6	4	0,2	4	9	7	0,1	21	15	29
12/01/2024	03	5	4	0,3	4	6	5	0,1	334	11	36
12/01/2024	04	4	3	0,3	4	5	4	0,1	332	11	35
12/01/2024	05	3	4	0,3	4	10	3	0,2	1	16	33
12/01/2024	06	5	4	0,3	5	21	6	0,1	22	29	14
12/01/2024	07	5	3	0,1	6	26	6	0,4	308	34	15
12/01/2024	08	6	4	0,1	15	37	12	0,2	309	60	5
12/01/2024	09	7	4	0,1	17	34	21	0,4	334	60	10
12/01/2024	10	8	4	0,1	16	27	23	0,4	281	52	17
12/01/2024	11	8	4	0,1	11	22	22	0,3	265	40	27
12/01/2024	12	10	4	0,2	10	19	21	0,7	199	34	35
12/01/2024	13	9	3	0,3	6	10	12	1,3	206	20	50
12/01/2024	14	12	3	0,3	8	18	19	1,8	125	31	45
12/01/2024	15	13	3	0,3	9	22	16	1,4	172	35	41
12/01/2024	16	8	3	0,2	6	15	11	0,9	200	23	53
12/01/2024	17	10	3	0,1	6	17	17	1,1	214	25	46
12/01/2024	18	12	3	0,1	5	22	18	1	233	30	36
12/01/2024	19	10	3	0,2	5	28	11	1,8	231	36	29
12/01/2024	20	13	3	0,2	15	50	16	0,2	282	72	7
12/01/2024	21	16	3	0,2	20	52	20	0,1	341	82	3
12/01/2024	22	18	3	0,3	27	49	22	0,1	226	89	3
12/01/2024	23	27	4	0,3	57	46	34	0,1	232	133	3
13/01/2024	00	29	4	0,3	43	43	36	0,5	216	109	3
13/01/2024	01	29	3	0,3	34	40	36	0,3	267	93	3
13/01/2024	02	28	3	0,3	23	34	33	0,1	128	70	3
13/01/2024	03	28	4	0,3	29	33	31	0,1	229	77	3
13/01/2024	04	23	3	0,3	20	30	24	0,1	307	61	3
13/01/2024	05	23	3	0,3	19	27	26	0,1	256	55	3
13/01/2024	06	21	3	0,3	20	27	24	0,1	165	57	3
13/01/2024	07	17	4	0,3	24	27	19	0,3	216	64	3
13/01/2024	08	17	4	0,2	55	31	19	0,1	208	115	3
13/01/2024	09	17	3	0,2	32	36	20	0,3	181	85	3
13/01/2024	10	21	3	0,1	23	32	27	0,1	156	66	9
13/01/2024	11	21	3	0,2	23	37	30	0,5	210	72	10
13/01/2024	12	17	3	0,2	23	36	25	0,1	134	72	17
13/01/2024	13	21	3	0,3	28	38	24	0,6	88	82	16
13/01/2024	14	20	3	0,3	9	23	23	0,5	179	37	40
13/01/2024	15		3	0,3	7	16		1,9	111	27	51
13/01/2024	16	11	3	0,3	6	17	12	1,1	120	26	53
13/01/2024	17	10	3	0,3	6	21	10	0,1	105	31	49
13/01/2024	18	12	3	0,1	5	28	12	0,1	75	35	38
13/01/2024	19	13	3	0,1	8	33	14	0,1	52	44	27
13/01/2024	20	19	3	0,1	19	54	23	0,1	38	82	5
13/01/2024	21	26	3	0,1	33	57	32	0,1	266	107	3
13/01/2024	22	28	3	0,1	49	58	33	0,1	309	133	4
13/01/2024	23	31	3	0,3	35	55	36	0,3	206	108	4
14/01/2024	00	28	3	0,3	17	52	30	0,1	263	78	4
14/01/2024	01	31	4	0,3	19	46	35	0,1	299	74	4
14/01/2024	02	12	4	0,3	6	29	13	0,3	238	37	23
14/01/2024	03	5	4	0,3	5	17	6	0,4	250	24	32
14/01/2024	04	5	3	0,3	5	9	6	1,2	224	16	39
14/01/2024	05	5	4	0,3	5	9	7	0,3	217	16	36
14/01/2024	06	4	3	0,2	4	9	8	1	230	15	39
14/01/2024	07	5	3	0,2	5	10	10	1,6	236	19	36
14/01/2024	08	6	4	0,2	6	8	16	1,9	249	17	40
14/01/2024	09	7	4	0,2	6	10	21	1,6	248	19	40
14/01/2024	10	8	4	0,3	6	10	30	2,5	247	19	42
14/01/2024	11	8	4	0,3	6	10	23	3,6	252	19	43
14/01/2024	12	8	3	0,2	7	15	23	1	249	26	39
14/01/2024	13	7	3	0,2	6	18	23	0,4	242	28	36
14/01/2024	14	8	3	0,1	6	15	31	0,6	202	23	42
14/01/2024	15	6	3	0,1	7	12	26	4,1	243	22	51
14/01/2024	16	5	3	0,1	7	13	16	3	247	23	51
14/01/2024	17	7	3	0,1	6	14	22	4	239	23	49
14/01/2024	18	7	3	0,1	6	20	20	2,5	255	30	44
14/01/2024	19	6	3	0,1	6	16	25	0,7	266	26	46
14/01/2024	20	6	3	0,1	6	16	23	0,5	241	25	45
14/01/2024	21	6	3	0,1	6	18	18	0,2	215	28	39
14/01/2024	22	8	3	0,1	6	20	19	0,2	239	28	38
14/01/2024	23	8	3	0,1	7	20	28	0,6	238	30	36
15/01/2024	00	6	3	0,2	6	8	24	0,7	253	17	51
15/01/2024	01	5	3	0,3	5	9	19	1,2	266	17	50
15/01/2024	02	5	3	0,3	5	8	18	0,6	251	16	49
15/01/2024	03	5	3	0,3	5	7	17	1,2	251	15	49
15/01/2024	04	6	3	0,3	6	7	18	1,7	248	15	50
15/01/2024	05	6	3	0,3	6	8	20	2,3	252	17	49
15/01/2024	06	6	3	0,2	5	10	20	1,8	237	18	44
15/01/2024	07	6	3	0,2	7	18	20	2,2	247	28	34
15/01/2024	08	7	3	0,1	9	23	23	2,8	247	36	26
15/01/2024	09	5	3	0,1	6	18	15	3,8	244	28	34
15/01/2024	10	4	3	0,1	6	17	14	3	241	26	37
15/01/2024	11	5	3	0,1	7	15	27	3,1	259	25	37
15/01/2024	12	3	3	0,2	8	20	13	2	259	32	33
15/01/2024	13	3	3	0,3	7	20	16	1,6	248	31	37
15/01/2024	14	2	3	0,3	7	17	9	2,3	238	27	34
15/01/2024	15	2	3	0,3	8	19	6	1,8	232	30	35
15/01/2024	16	3	3	0,3	6	19	11	1,6	230	29	44
15/01/2024	17	2	3	0,3	7	21	7	2,2	248	31	45
15/01/2024	18	2	3	0,3	6	24	4	3	245	33	42
15/01/2024	19	2	3	0,3	6	20	5	2,7	245	30	47
15/01/2024	20	2	3	0,3	6	19	4	1,9	244	28	49
15/01/2024	21	2	3	0,3	6	18	2	2,3	252	28	48
15/01/2024	22	4	3	0,3	6	14	4	1,3	230	23	47
15/01/2024	23	1	3	0,3	6	9	1	3,1	250	18	52
16/01/2024	00	1	3	0,2	6	9	1	3	253	17	53
16/01/2024	01	2	3	0,3	6	8	3	3,4	252	17	54
16/01/2024	02	2	3	0,3	5	8	4	4,5	244	16	53
16/01/2024	03	3	3	0,3	6	7	4	1,7	250	16	50
16/01/2024	04	2	3	0,3	6	8	4	2,4	249	16	51
16/01/2024	05	2	3	0,3	6	8	3	1,1	217	17	49
16/01/2024	06	3	3	0,2	6	11	7	0,5	199	20	43
16/01/2024	07	4	3	0,2	6	15	11	1,1	241	23	44
16/01/2024	08	5	3	0,1	6	34	22	0,2	175	43	19
16/01/2024	09	4	3	0,1	8	26	18	1,1	239	39	29
16/01/2024	10	3	3	0,2	9	22	12	1,4	255	34	36
16/01/2024	11	3	3	0,2	7	17	14	0,8	229	27	42
16/01/2024	12	4	3	0,2	6	23	19	0,8	240	32	36
16/01/2024	13	4	3	0,2	8	28	17	0,9	263	41	29
16/01/2024	14	4	3	0,3	9	22	15	0,8	260	36	36
16/01/2024	15	5	3	0,2	8	19	29	2,5	249	31	40
16/01/2024	16	9	3	0,1	6	15	61	4,4	250	24	45
16/01/2024	17	10	3	0,1	6	21	54	2,5	243	31	41
16/01/2024	18	10	3	0,1	8	34	62	0,6	256	46	24
16/01/2024	19	10	3	0,2	7	26	57	2	236	36	32
16/01/2024	20	9	3	0,2	6	21	52	1,1	238	30	36
16/01/2024	21	10	3	0,2	6	16	53	1,4	249	26	44
16/01/2024	22	13	3	0,3	6	11	84	3,1	250	20	55
16/01/2024	23	14	3	0,2	6	8	113	4	245	17	65
17/01/2024	00	4	3	0,2	5	7	10	1,3	259	15	66
17/01/2024	01	4	4	0,3	6	8	7	0,1	307	17	60
17/01/2024	02	5	4	0,3	6	8	9	0,2	256	16	57
17/01/2024	03	5	4	0,3	6	8	8	0,2	234	16	55
17/01/2024	04	5	4	0,3	5	8	11	0,1	152	16	49
17/01/2024	05	6	4	0,3	5	9	12	0,3	211	17	45
17/01/2024	06	8	5	0,3	6	19	20	0,3	222	28	30
17/01/2024	07	9	5	0,2	14	40	29	0,1	212	60	8
17/01/2024	08	11	5	0,2	21	44	39	0,7	226	75	6
17/01/2024	09	13	5	0,2	18	43	43	0,4	201	71	9
17/01/2024	10	13	4	0,3	10	39	49	0,3	237	55	21
17/01/2024	11	9	4	0,3	7	17	47	3,6	256	27	52
17/01/2024	12	7	4	0,3	6	11	34	4,5	246	20	62
17/01/2024	13	16	3	0,3	6	10	193	4,7	244	19	64
17/01/2024	14	15	3	0,3	7	10	223	4,1	249	20	68
17/01/2024	15	9	3	0,3	6	10	119	4,5	244	19	68
17/01/2024	16	11	3	0,3	6	11	156	7,5	246	20	68
17/01/2024	17	7	3	0,3	6	11	99	5,3	244	20	70
17/01/2024	18	2	3	0,3	6	14	10	3,9	246	23	65
17/01/2024	19	2	4	0,3	6	15	7	3,2	230	23	61
17/01/2024	20	6	4	0,3	6	10	49	3,8	235	18	66
17/01/2024	21	5	4	0,3	6	7	42	3,9	226	16	67
17/01/2024	22	6	4	0,3	6	8	49	3,6	242	16	67
17/01/2024	23	3	4	0,3	6	7	19	3,8	235	16	68
18/01/2024	00	2	3	0,3	5	7	10	3,9	239	15	69
18/01/2024	01	2	3	0,1	5	7	6	3,3	238	14	68
18/01/2024	02	2	3	0,1	5	7	5	3,2	241	15	69
18/01/2024	03	2	4	0,2	5	7	6	3	248	15	69
18/01/2024	04	2	3	0,1	5	7	4	2	247	14	68
18/01/2024	05	2	3	0,1	5	7	5	2,4	248	15	66
18/01/2024	06	2	3	0,1	5	7	6	4,9	252	15	65
18/01/2024	07	3	3	0,1	5	9	8	3	242	17	60
18/01/2024	08	3	3	0,1	5	14	14	1,6	226	22	53
18/01/2024	09	4	4	0,1	7	15	15	2,9	248	26	49
18/01/2024	10	4	4	0,2	7	11	14	3,6	244	22	55
18/01/2024	11	6	3	0,1	7	10	17	3,3	236	21	56
18/01/2024	12	6	3	0,2	6	14	14	1,1	242	24	53
18/01/2024	13	7	3	0,3	7	11	25	2,1	247	22	60
18/01/2024	14	3	3	0,3	6	9	15	2,6	244	18	61
18/01/2024	15	3	3	0,3	6	11	13	1,5	242	21	59
18/01/2024	16	3	3	0,3	6	13	18	2,2	235	22	58
18/01/2024	17	3	3	0,3	7	16	13	3,4	236	27	54
